AOI,Years,ncell,Area_m2,Area_ha
Monrovia,1996,3237129,24748498.630799998,2474.84986308
Monrovia,2007,3217319,24597047.218799997,2459.70472188
Monrovia,2008,3200675,24469800.509999998,2446.980051
Monrovia,2009,3188398,24375940.389599998,2437.5940389599996
Monrovia,2010,3030905,23171874.905999996,2317.1874905999994
Monrovia,2015,3054583,23352897.951599997,2335.28979516
Monrovia,2016,3034764,23201377.732799996,2320.1377732799997
